"tid","temp"
"2021-02-25 11:00:00",7.5
"2021-02-25 12:00:00",8.5
"2021-02-25 13:00:00",8.7
"2021-02-25 14:00:00",8.1
"2021-02-25 15:00:00",7.2
"2021-02-25 16:00:00",6.8
"2021-02-25 17:00:00",6.8
"2021-02-25 18:00:00",7
"2021-02-25 19:00:00",7.3
"2021-02-25 20:00:00",7.5
"2021-02-25 21:00:00",7.4
"2021-02-25 22:00:00",7.2
"2021-02-25 23:00:00",7
"2021-02-26 00:00:00",6.7
"2021-02-26 01:00:00",6.5
"2021-02-26 02:00:00",6.4
"2021-02-26 03:00:00",6
"2021-02-26 04:00:00",5.8
"2021-02-26 05:00:00",5.7
"2021-02-26 06:00:00",5.3
"2021-02-26 07:00:00",5.3
"2021-02-26 08:00:00",4.9
"2021-02-26 09:00:00",5.2
"2021-02-26 10:00:00",5.5
"2021-02-26 11:00:00",5.8
"2021-02-26 12:00:00",6.2
"2021-02-26 13:00:00",6.9
"2021-02-26 14:00:00",6.9
"2021-02-26 15:00:00",8
"2021-02-26 16:00:00",7.8
"2021-02-26 17:00:00",7.3
"2021-02-26 18:00:00",6.6
"2021-02-26 19:00:00",5.9
"2021-02-26 20:00:00",5.6
"2021-02-26 21:00:00",5.6
"2021-02-26 22:00:00",5.4
"2021-02-26 23:00:00",5.5
"2021-02-27 00:00:00",5.5
"2021-02-27 01:00:00",5.7
"2021-02-27 02:00:00",5.8
"2021-02-27 03:00:00",5.9
"2021-02-27 04:00:00",6
"2021-02-27 05:00:00",5.8
"2021-02-27 06:00:00",5.4
"2021-02-27 07:00:00",5
"2021-02-27 08:00:00",4.8
"2021-02-27 09:00:00",5.3
"2021-02-27 10:00:00",5.8
"2021-02-27 11:00:00",6.2
"2021-02-27 12:00:00",6.9
"2021-02-27 13:00:00",7.4
"2021-02-27 19:00:00",7.9
"2021-02-28 01:00:00",7.3
"2021-02-28 07:00:00",6.7
"2021-02-28 13:00:00",8.3
"2021-02-28 19:00:00",7.4
"2021-03-01 01:00:00",6.9
"2021-03-01 07:00:00",7.7
"2021-03-01 13:00:00",8.1
"2021-03-01 19:00:00",7.9
"2021-03-02 01:00:00",6.7
"2021-03-02 07:00:00",6.4
"2021-03-02 13:00:00",7.7
"2021-03-02 19:00:00",6.7
"2021-03-03 01:00:00",4.5
"2021-03-03 07:00:00",2.9
"2021-03-03 13:00:00",6.7
"2021-03-03 19:00:00",5.4
"2021-03-04 01:00:00",3.4
"2021-03-04 07:00:00",2.4
"2021-03-04 13:00:00",6.8
"2021-03-04 19:00:00",5.4
"2021-03-05 01:00:00",4.2
"2021-03-05 07:00:00",3.7
"2021-03-05 13:00:00",6.6
"2021-03-05 19:00:00",5.3
"2021-03-06 01:00:00",4
"2021-03-06 07:00:00",3.5
